"","Timepoint","ColonyID","Species","Phenotype","Tissue_Biomass_mg_cm2"
"246","January_2025","29","Porites compressa","Susceptible",6.43324511607338
"247","January_2025","43","Porites compressa","Susceptible",3.21413605213322
"248","January_2025","44","Porites compressa","Resistant",3.74906273848608
"249","January_2025","201","Montipora capitata","Susceptible",3.37763797074634
"250","January_2025","202","Montipora capitata","Resistant",5.56160743199013
"251","January_2025","203","Montipora capitata","Susceptible",2.62934506301689
"252","January_2025","204","Montipora capitata","Resistant",1.85938941670385
"253","January_2025","205","Montipora capitata","Susceptible",4.10792098388973
"254","January_2025","206","Montipora capitata","Resistant",3.81533130616179
"255","January_2025","209","Montipora capitata","Susceptible",0.851883303413684
"256","January_2025","210","Montipora capitata","Resistant",7.4136871270066
"257","January_2025","211","Montipora capitata","Susceptible",4.08758907055795
"258","January_2025","213","Montipora capitata","Susceptible",4.17593033224349
"259","January_2025","214","Montipora capitata","Resistant",2.6718158152525
"260","January_2025","219","Montipora capitata","Susceptible",9.1266462598638
"261","January_2025","220","Montipora capitata","Resistant",6.09287752779413
"262","January_2025","221","Montipora capitata","Susceptible",5.12004523936979
"263","January_2025","225","Porites compressa","Susceptible",4.3939244070818
"264","January_2025","226","Porites compressa","Resistant",3.47616196586484
"265","January_2025","233","Porites compressa","Susceptible",0.795956253026351
"266","January_2025","234","Porites compressa","Resistant",3.34612770800286
"267","January_2025","235","Porites compressa","Susceptible",3.03170811364567
"268","January_2025","236","Porites compressa","Resistant",3.86876836559164
"269","January_2025","237","Porites compressa","Susceptible",6.10587476236475
"270","January_2025","238","Porites compressa","Resistant",2.60985299059724
"271","January_2025","239","Porites compressa","Susceptible",4.10287385874914
"272","January_2025","240","Porites compressa","Resistant",4.32100132972061
"273","January_2025","241","Porites compressa","Susceptible",3.14541527414313
"274","January_2025","242","Porites compressa","Resistant",1.5020201160808
"275","January_2025","243","Porites compressa","Susceptible",2.21706545725793
"276","January_2025","244","Porites compressa","Resistant",4.52184502285986
"277","January_2025","247","Porites compressa","Susceptible",2.88237923326716
