"","ColonyID","Species","Phenotype","Timepoint","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes"
"104","19","Montipora capitata","Susceptible","January_2024",2.4551,3.0008,0.5457,21.7124643639234,""
"105","20","Montipora capitata","Resistant","January_2024",5.0109,5.8668,0.855899999999999,34.0547888016896,""
"106","26","Porites compressa","Resistant","January_2024",4.8718,5.2716,0.3998,15.9073543204995,""
"107","27","Porites compressa","Susceptible","January_2024",7.0802,7.6993,0.6191,24.6329241116089,""
"108","28","Porites compressa","Resistant","January_2024",4.1446,4.5583,0.4137,16.4604114116825,""
"109","29","Porites compressa","Susceptible","January_2024",8.3601,9.068,0.7079,28.1661233703892,""
"110","41","Porites compressa","Susceptible","January_2024",4.6213,5.2082,0.5869,23.3517414975017,""
"111","42","Porites compressa","Resistant","January_2024",5.5811,6.0952,0.5141,20.4551547177809,""
"112","43","Porites compressa","Susceptible","January_2024",5.9732,6.4782,0.505,20.0930813703158,""
"113","44","Porites compressa","Resistant","January_2024",4.0099,4.3702,0.3603,14.3357172628213,""
"114","45","Porites compressa","Susceptible","January_2024",3.6013,3.963,0.3617,14.391420854739,""
"115","46","Porites compressa","Resistant","January_2024",8.4395,9.2025,0.763,30.3584575951504,""
"116","201","Montipora capitata","Susceptible","January_2024",6.5051,7.278,0.7729,30.7523615665685,""
"117","202","Montipora capitata","Resistant","January_2024",9.1058,10.2187,1.1129,44.280376746583,""
"118","203","Montipora capitata","Susceptible","January_2024",3.1456,3.6435,0.4979,19.8105845827331,""
"119","204","Montipora capitata","Resistant","January_2024",3.4741,4.0164,0.5423,21.5771842121233,""
"120","205","Montipora capitata","Susceptible","January_2024",1.7854,2.1593,0.3739,14.8768378700219,""
"121","206","Montipora capitata","Resistant","January_2024",1.96,2.3558,0.3958,15.7482012007346,""
"122","209","Montipora capitata","Susceptible","January_2024",5.1331,5.8953,0.7622,30.3266269711974,""
"123","210","Montipora capitata","Resistant","January_2024",3.3036,3.9301,0.6265,24.9273573831739,""
"124","211","Montipora capitata","Susceptible","January_2024",3.7847,4.524,0.7393,29.4154753605435,""
"125","212","Montipora capitata","Resistant","January_2024",2.7829,3.1761,0.3932,15.6447516728875,""
"126","213","Montipora capitata","Susceptible","January_2024",3.1907,3.7642,0.5735,22.8185785462893,""
"127","214","Montipora capitata","Resistant","January_2024",0.8368,1.0697,0.2329,9.26669039831,""
"128","219","Montipora capitata","Susceptible","January_2024",3.506,4.506,1,39.7882799412194,"Dropped in wax"
"129","220","Montipora capitata","Resistant","January_2024",3.3861,3.9373,0.5512,21.9312999036001,""
"130","221","Montipora capitata","Susceptible","January_2024",3.6151,4.1987,0.5836,23.2204401736956,""
"131","225","Porites compressa","Susceptible","January_2024",8.5311,9.4342,0.9031,35.9327956149152,""
"132","226","Porites compressa","Resistant","January_2024",9.6992,10.5589,0.8597,34.2059842654663,""
"133","233","Porites compressa","Susceptible","January_2024",5.9148,6.5668,0.652,25.941958521675,""
"134","234","Porites compressa","Resistant","January_2024",6.3031,6.8321,0.529,21.0480000889051,""
"135","235","Porites compressa","Susceptible","January_2024",6.4411,7.1575,0.7164,28.5043237498896,""
"136","236","Porites compressa","Resistant","January_2024",6.0652,6.7105,0.6453,25.6753770460689,""
"137","237","Porites compressa","Susceptible","January_2024",5.4604,5.9551,0.4947,19.6832620869212,""
"138","238","Porites compressa","Resistant","January_2024",3.4248,3.7081,0.2833,11.2720197073475,""
"139","239","Porites compressa","Susceptible","January_2024",5.1846,5.5781,0.3935,15.6566881568698,""
"140","240","Porites compressa","Resistant","January_2024",3.3874,3.6747,0.2873,11.4311728271123,""
"141","241","Porites compressa","Susceptible","January_2024",7.7339,8.5021,0.7682,30.5653566508447,""
"142","242","Porites compressa","Resistant","January_2024",5.4569,6.0295,0.5726,22.7827690943422,""
"143","243","Porites compressa","Susceptible","January_2024",5.7742,6.3655,0.591299999999999,23.526809929243,""
"144","244","Porites compressa","Resistant","January_2024",6.4237,6.9809,0.5572,22.1700295832474,""
"145","247","Porites compressa","Susceptible","January_2024",7.0335,7.6819,0.6484,25.7987207138866,""
"146","248","Porites compressa","Resistant","January_2024",5.8809,6.3511,0.4702,18.7084492283614,""
"147","1","Montipora capitata","Susceptible","May_2024",3.0905,3.5594,0.4689,10.6837636555434,""
"148","2","Montipora capitata","Resistant","May_2024",2.6384,3.2776,0.6392,14.5640045396105,""
"149","3","Montipora capitata","Susceptible","May_2024",1.4658,1.8136,0.3478,7.92453188184689,""
"150","4","Montipora capitata","Resistant","May_2024",3.5062,4.0065,0.5003,11.3992044292352,""
"151","12","Montipora capitata","Resistant","May_2024",1.7534,2.0593,0.3059,6.96985135899069,""
"152","19","Montipora capitata","Susceptible","May_2024",2.1779,4.4463,2.2684,51.6848997147254,"May be overestimation "
"153","20","Montipora capitata","Resistant","May_2024",2.5349,3.0225,0.4876,11.1098382564363,""
"154","26","Porites compressa","Resistant","May_2024",3.7867,4.1552,0.3685,8.39617595877106,""
"155","27","Porites compressa","Susceptible","May_2024",2.8378,3.1289,0.2911,6.63263723635891,""
"156","28","Porites compressa","Resistant","May_2024",4.7765,5.4005,0.624,14.2176765217724,""
"157","29","Porites compressa","Susceptible","May_2024",4.6988,5.1612,0.4624,10.5356628584416,""
"158","41","Porites compressa","Susceptible","May_2024",2.9568,3.2532,0.2964,6.75339634784192,""
"159","42","Porites compressa","Resistant","May_2024",2.6487,2.9358,0.2871,6.54149828429627,""
"160","43","Porites compressa","Susceptible","May_2024",7.8219,8.5233,0.7014,15.9812152441846,""
